Train GT,Train preds,diff
147.30287,153.80441,6.501541
145.21571,153.87386,8.658142
147.21817,153.68863,6.470459
147.56192,153.76073,6.198807
146.12729,153.91853,7.7912445
145.34521,153.88344,8.538223
148.872,153.70518,4.833191
149.8832,154.00104,4.1178436
150.03262,154.49384,4.461212
149.21071,154.9957,5.7849884
154.37137,155.31494,0.943573
155.41743,156.25668,0.83924866
156.38382,157.3314,0.94758606
150.63538,158.42715,7.7917786
147.3726,158.55441,11.181808
147.49214,157.97423,10.482086
147.91061,157.29092,9.38031
146.20201,156.7168,10.514786
143.34271,156.01837,12.675659
145.26051,155.01404,9.753525
149.03639,154.36281,5.326416
148.0949,154.41043,6.3155365
148.3091,154.50179,6.192688
145.62915,154.65302,9.023865
145.0812,154.42764,9.346436
145.2406,154.07718,8.836578
142.3066,153.75925,11.452652
141.49464,153.08887,11.594223
144.31906,152.3349,8.015839
141.46976,152.05797,10.588211
142.29167,151.54184,9.250168
142.0177,151.18968,9.171982
139.47221,150.88724,11.415024
139.47722,150.30385,10.82663
136.49341,149.75443,13.261017
139.26797,148.88231,9.614334
140.75742,148.45834,7.7009277
140.76738,148.39752,7.630142
141.26051,148.45349,7.192978
143.68642,148.61456,4.9281464
143.09863,149.11365,6.0150146
142.46599,149.53578,7.0697937
142.59053,149.80086,7.210327
143.68642,150.00044,6.314026
143.01894,150.29459,7.27565
146.88446,150.46721,3.5827484
147.14348,151.11865,3.975174
148.98654,151.80727,2.8207245
154.29167,152.66907,1.6226044
155.25806,154.16983,1.0882263
150.93427,155.7227,4.788437
150.74495,156.46532,5.7203674
149.53949,156.87083,7.3313446
151.32779,156.92273,5.59494
153.3801,157.1107,3.730606
155.36763,157.5681,2.20047
155.10362,158.29782,3.1941986
157.0912,158.95007,1.8588715
156.5532,159.76918,3.215973
156.38382,160.41678,4.032959
152.42867,160.90054,8.471878
154.23189,160.703,6.471115
157.63914,160.61728,2.9781342
158.745,161.01797,2.2729797
154.91931,161.62889,6.7095795
154.77487,161.67624,6.901367
155.79108,161.57043,5.779358
155.91061,161.5619,5.651291
154.745,161.58577,6.8407745
152.47849,161.45374,8.97525
149.92303,160.98953,11.066498
148.16463,160.1566,11.991974
147.51707,159.11076,11.593689
151.93054,158.07825,6.147705
151.07373,157.823,6.7492676
153.7736,157.67677,3.9031677
151.03389,157.99397,6.960083
169.31537,157.99664,11.318726
173.67403,160.5058,13.168228
172.80727,163.82556,8.981705
177.05635,166.80867,10.247681
175.87077,169.88492,5.985855
178.41624,172.30614,6.1101074
185.37517,174.5415,10.833664
188.98163,177.3462,11.635422
189.13109,180.35799,8.773102
192.25436,182.9844,9.2699585
194.48602,185.55737,8.92865
196.77742,188.01218,8.765244
194.22202,190.37422,3.8477936
188.86708,191.9422,3.075119
194.81976,192.24454,2.5752258
194.47107,193.01764,1.4534302
197.7438,193.67714,4.0666656
195.66658,194.70491,0.9616699
198.3316,195.34634,2.98526
200.9717,196.19548,4.7762146
199.35776,197.33987,2.0178833
203.91566,198.13979,5.775879
207.45737,199.41675,8.040619
210.64046,201.13179,9.508667
213.50972,203.18562,10.324097
210.94931,205.45178,5.497528
201.01654,207.0296,6.0130615
201.69899,206.65704,4.9580536
206.27184,205.89835,0.37348938
208.07008,205.77464,2.2954407
202.1672,206.09564,3.9284363
201.51468,205.61113,4.096451
201.35526,204.91267,3.5574188
204.55826,204.21574,0.34251404
203.83597,204.1098,0.27383423
205.5346,204.06935,1.4652557
207.9655,204.336,3.6295013
208.69777,205.01408,3.6836853
210.48607,205.81499,4.6710815
214.27184,206.80763,7.464203
211.50722,208.27313,3.234085
214.06763,209.21057,4.8570557
212.36899,210.26355,2.1054382
215.21333,210.8924,4.320938
214.66039,211.74321,2.9171753
211.52715,212.41165,0.8845062
212.54834,212.44661,0.10173035
209.29053,212.45375,3.1632233
206.65541,211.92493,5.269516
216.80235,210.93263,5.8697205
221.78867,211.51503,10.273636
224.77747,213.17676,11.600708
231.96056,215.3879,16.572662
232.57823,218.55249,14.025742
234.0029,221.58594,12.416962
234.9344,224.35078,10.583618
230.94933,226.7302,4.2191315
232.25444,227.97093,4.2835083
232.68285,228.87726,3.8055878
221.6243,229.562,7.9376984
217.4101,228.31299,10.902893
198.98416,226.06412,27.079956
212.95178,220.97212,8.02034
220.6878,218.09326,2.5945435
215.69154,217.38857,1.6970215
216.32414,216.70682,0.38267517
215.93562,216.33463,0.39900208
212.61307,216.05168,3.438614
215.52219,215.33777,0.18441772
200.13982,215.07819,14.93837
197.28055,212.59973,15.319183
190.06259,209.52074,19.458145
191.83096,205.616,13.785034
183.27303,202.39313,19.120102
183.85089,198.57477,14.723877
178.71512,195.36029,16.645172
180.62796,192.05885,11.430893
172.20451,189.59796,17.393448
171.01897,186.52425,15.50528
170.55072,183.67432,13.123596
182.54576,181.26749,1.2782745
183.6865,181.1287,2.5578003
182.61053,181.77573,0.83480835
182.06259,182.46278,0.40019226
188.3291,183.00946,5.319641
187.99535,184.35367,3.6416779
194.4611,185.62785,8.833252
