Date,Open,High,Low,Close,Volume,Name
2014-05-08,1733.0,1760.0,1726.65,1745.3,524352,TECHM
2014-05-09,1735.0,1783.9,1735.0,1776.45,380176,TECHM
2014-05-12,1779.0,1800.0,1766.1,1794.4,637605,TECHM
2014-05-13,1800.0,1834.5,1796.1,1822.55,568173,TECHM
2014-05-14,1830.0,1852.0,1800.0,1837.6,650885,TECHM
2014-05-15,1842.25,1873.1,1814.6,1830.25,1087331,TECHM
2014-05-16,1845.0,1860.0,1765.05,1822.55,2474718,TECHM
2014-05-19,1836.0,1836.0,1730.65,1738.75,5261837,TECHM
2014-05-20,1740.0,1804.55,1730.0,1771.05,873333,TECHM
2014-05-21,1771.0,1783.7,1735.0,1746.5,1022577,TECHM
2014-05-22,1745.0,1764.7,1740.05,1747.85,584995,TECHM
2014-05-23,1751.0,1806.0,1738.0,1786.35,816566,TECHM
2014-05-26,1800.0,1828.5,1780.0,1805.4,570686,TECHM
2014-05-27,1790.2,1862.0,1790.2,1854.45,1100113,TECHM
2014-05-28,1847.1,1896.9,1847.1,1886.85,1019543,TECHM
2014-05-29,1890.0,1904.0,1858.4,1877.75,1527361,TECHM
2014-05-30,1869.1,1939.0,1869.1,1923.0,1395177,TECHM
2014-06-02,1931.25,1938.0,1880.25,1895.9,537975,TECHM
2014-06-03,1892.0,1914.25,1886.85,1901.2,638179,TECHM
2014-06-04,1899.0,1943.2,1880.9,1886.1,1625196,TECHM
2014-06-05,1868.1,1921.0,1868.1,1904.4,641856,TECHM
2014-06-06,1914.0,1923.0,1879.0,1910.15,496002,TECHM
2014-06-09,1895.0,1989.15,1895.0,1955.75,877881,TECHM
2014-06-10,1968.0,2025.0,1961.2,2004.15,1331094,TECHM
2014-06-11,2013.0,2048.2,2010.7,2019.05,1070625,TECHM
2014-06-12,2024.0,2030.0,1990.0,1998.8,743879,TECHM
2014-06-13,1990.0,2029.2,1981.95,2021.35,529331,TECHM
2014-06-16,2020.9,2045.0,2001.0,2022.65,729882,TECHM
2014-06-17,2030.0,2043.55,2013.0,2027.05,370076,TECHM
2014-06-18,2022.0,2037.0,2003.75,2011.85,315822,TECHM
2014-06-19,2015.7,2049.65,2002.15,2030.55,567105,TECHM
2014-06-20,2012.0,2045.0,1988.85,2009.05,361694,TECHM
2014-06-23,2010.0,2018.65,1992.6,2002.55,267754,TECHM
2014-06-24,2006.0,2007.0,1987.15,1994.55,237858,TECHM
2014-06-25,1994.55,2022.0,1994.45,2018.2,693395,TECHM
2014-06-26,2022.0,2058.0,2019.95,2047.2,875510,TECHM
2014-06-27,2050.0,2135.5,2050.0,2125.7,1241941,TECHM
2014-06-30,2127.5,2161.7,2121.0,2152.0,1577016,TECHM
2014-07-01,2150.0,2166.4,2100.0,2108.9,1490646,TECHM
2014-07-02,2128.0,2128.0,2088.4,2100.7,627824,TECHM
2014-07-03,2118.0,2154.9,2105.0,2113.45,657199,TECHM
2014-07-04,2129.0,2132.95,2102.0,2115.9,291095,TECHM
2014-07-07,2136.95,2149.95,2118.0,2137.3,633136,TECHM
2014-07-08,2158.5,2158.5,2081.25,2105.7,719363,TECHM
2014-07-09,2105.7,2109.7,2054.0,2067.35,424703,TECHM
2014-07-10,2053.1,2060.0,2000.0,2021.45,854275,TECHM
2014-07-11,2050.0,2086.0,2027.45,2049.9,445788,TECHM
2014-07-14,2050.0,2061.5,2020.0,2038.6,255172,TECHM
2014-07-15,2039.0,2078.9,2039.0,2062.75,264180,TECHM
2014-07-16,2069.9,2091.85,2057.1,2077.45,425399,TECHM
2014-07-17,2080.0,2116.95,2072.0,2100.45,365072,TECHM
2014-07-18,2106.0,2139.0,2106.0,2121.8,356668,TECHM
2014-07-21,2126.0,2137.45,2104.0,2109.15,250805,TECHM
2014-07-22,2120.0,2144.2,2102.1,2135.35,282675,TECHM
2014-07-23,2145.0,2159.9,2130.1,2150.3,473194,TECHM
2014-07-24,2157.0,2192.5,2155.45,2178.65,460543,TECHM
2014-07-25,2167.5,2182.0,2131.5,2176.7,390517,TECHM
2014-07-28,2181.9,2198.5,2167.1,2191.05,397785,TECHM
2014-07-30,2178.0,2188.4,2146.0,2161.4,496989,TECHM
2014-07-31,2172.0,2174.9,2136.1,2150.6,2361026,TECHM
2014-08-01,2040.0,2135.85,2030.15,2127.25,1848230,TECHM
2014-08-04,2130.0,2180.0,2109.15,2167.1,759074,TECHM
2014-08-05,2170.0,2190.0,2155.0,2187.7,406706,TECHM
2014-08-06,2200.0,2213.25,2170.2,2204.85,455204,TECHM
2014-08-07,2200.0,2231.5,2171.8,2210.75,484087,TECHM
2014-08-08,2207.0,2224.95,2176.85,2188.65,508127,TECHM
2014-08-11,2205.0,2206.0,2156.5,2161.2,329389,TECHM
2014-08-12,2178.0,2178.0,2150.0,2165.6,261009,TECHM
2014-08-13,2170.0,2174.95,2141.0,2147.9,509084,TECHM
2014-08-14,2159.9,2177.45,2142.5,2150.7,304441,TECHM
2014-08-18,2150.0,2208.2,2133.7,2202.6,393597,TECHM
2014-08-19,2206.0,2215.0,2190.0,2211.15,479026,TECHM
2014-08-20,2210.1,2225.0,2193.0,2221.7,758466,TECHM
2014-08-21,2227.95,2247.0,2225.0,2236.25,479136,TECHM
2014-08-22,2230.0,2327.0,2225.1,2306.45,737315,TECHM
2014-08-25,2314.0,2319.65,2307.0,2313.65,602813,TECHM
2014-08-26,2311.0,2364.5,2311.0,2353.35,630087,TECHM
2014-08-27,2349.35,2361.65,2323.1,2329.6,510072,TECHM
2014-08-28,2340.1,2377.5,2330.0,2363.0,1009778,TECHM
2014-09-01,2345.05,2381.5,2345.05,2371.85,264116,TECHM
2014-09-02,2381.45,2420.8,2358.4,2406.65,428524,TECHM
2014-09-03,2406.0,2450.0,2400.6,2443.15,476157,TECHM
2014-09-04,2443.15,2472.5,2427.75,2468.5,336197,TECHM
2014-09-05,2477.9,2523.2,2460.0,2468.25,428917,TECHM
2014-09-08,2492.0,2499.2,2460.0,2487.7,292517,TECHM
2014-09-09,2487.0,2487.0,2435.0,2439.0,421825,TECHM
2014-09-10,2449.0,2474.95,2431.0,2444.35,262625,TECHM
2014-09-11,2445.0,2455.0,2401.05,2443.9,461919,TECHM
2014-09-12,2445.0,2460.6,2422.45,2445.75,289210,TECHM
2014-09-15,2431.1,2475.55,2428.05,2468.0,359016,TECHM
2014-09-16,2451.1,2478.4,2411.0,2423.25,343453,TECHM
2014-09-17,2430.0,2442.5,2417.0,2424.8,398442,TECHM
2014-09-18,2420.0,2437.8,2397.05,2426.1,439347,TECHM
2014-09-19,2440.0,2495.35,2436.05,2478.25,855511,TECHM
2014-09-22,2478.25,2488.95,2455.0,2469.2,153765,TECHM
2014-09-23,2480.0,2514.05,2446.6,2473.8,529482,TECHM
2014-09-24,2475.0,2504.65,2455.0,2485.05,318860,TECHM
2014-09-25,2488.5,2525.0,2488.5,2501.95,768411,TECHM
2014-09-26,2503.0,2530.0,2468.0,2473.25,353680,TECHM
2014-09-29,2479.95,2505.0,2463.0,2486.65,221488,TECHM
2014-09-30,2490.0,2498.4,2455.7,2489.7,441590,TECHM
2014-10-01,2470.05,2540.5,2470.05,2520.8,638563,TECHM
2014-10-07,2517.0,2543.5,2501.1,2514.1,457638,TECHM
2014-10-08,2514.0,2515.0,2345.0,2396.2,1366345,TECHM
2014-10-09,2396.1,2424.0,2306.7,2336.45,1865047,TECHM
2014-10-10,2325.0,2384.3,2311.3,2339.05,1128390,TECHM
2014-10-13,2342.0,2384.8,2327.0,2368.0,1026669,TECHM
2014-10-14,2370.0,2383.4,2348.1,2372.1,740240,TECHM
2014-10-16,2380.9,2390.9,2284.05,2305.35,874494,TECHM
2014-10-17,2295.0,2336.55,2166.0,2273.0,1928516,TECHM
2014-10-20,2309.7,2319.9,2251.0,2296.05,635128,TECHM
2014-10-21,2290.1,2348.0,2281.2,2330.7,373873,TECHM
2014-10-22,2349.75,2367.25,2323.0,2334.75,628285,TECHM
2014-10-23,2342.0,2365.0,2342.0,2359.25,35732,TECHM
2014-10-27,2356.0,2370.0,2320.35,2326.4,407704,TECHM
2014-10-28,2321.0,2380.0,2321.0,2371.25,1177585,TECHM
2014-10-29,2385.0,2406.9,2353.3,2396.95,793846,TECHM
2014-10-30,2460.0,2512.0,2452.25,2479.55,2465945,TECHM
2014-10-31,2498.0,2523.6,2483.15,2517.7,498317,TECHM
2014-11-03,2518.0,2599.0,2513.3,2580.35,871809,TECHM
2014-11-05,2570.15,2646.9,2532.75,2610.6,817071,TECHM
2014-11-07,2585.0,2664.9,2585.0,2651.65,870373,TECHM
2014-11-10,2656.0,2660.0,2605.0,2634.1,460094,TECHM
2014-11-11,2637.0,2663.9,2615.3,2630.0,454388,TECHM
2014-11-12,2616.0,2657.0,2611.05,2620.45,537043,TECHM
2014-11-13,2638.0,2660.0,2598.0,2645.0,390019,TECHM
2014-11-14,2657.4,2678.0,2624.8,2638.0,334847,TECHM
2014-11-17,2630.0,2638.0,2578.05,2596.15,435361,TECHM
2014-11-18,2608.45,2614.95,2572.3,2596.45,386870,TECHM
2014-11-19,2600.0,2644.45,2580.5,2627.25,441431,TECHM
2014-11-20,2646.9,2718.0,2621.65,2705.7,898064,TECHM
2014-11-21,2730.0,2734.0,2662.05,2676.35,820001,TECHM
2014-11-24,2675.05,2692.75,2647.35,2661.3,368791,TECHM
2014-11-25,2660.0,2689.0,2607.0,2620.4,578275,TECHM
2014-11-26,2615.0,2653.85,2601.15,2647.1,279903,TECHM
2014-11-27,2660.0,2660.0,2625.0,2646.25,350736,TECHM
2014-11-28,2652.0,2669.0,2631.0,2640.05,309110,TECHM
2014-12-01,2645.05,2659.4,2640.0,2653.05,335214,TECHM
2014-12-02,2642.0,2678.9,2641.0,2657.4,305384,TECHM
2014-12-03,2660.0,2697.6,2652.45,2692.6,457251,TECHM
2014-12-04,2694.05,2705.0,2652.55,2679.25,329566,TECHM
2014-12-05,2691.95,2691.95,2610.1,2618.15,422439,TECHM
2014-12-08,2618.0,2622.0,2585.0,2612.8,290848,TECHM
2014-12-09,2601.0,2629.05,2591.95,2612.15,384262,TECHM
2014-12-10,2605.0,2626.75,2555.0,2571.5,429187,TECHM
2014-12-11,2556.1,2628.85,2556.1,2618.75,416779,TECHM
2014-12-12,2601.0,2619.9,2579.05,2588.55,343203,TECHM
2014-12-15,2560.0,2569.0,2488.55,2495.75,705468,TECHM
2014-12-16,2477.0,2582.95,2477.0,2534.55,736163,TECHM
2014-12-17,2540.1,2561.95,2461.4,2495.75,392769,TECHM
2014-12-18,2499.0,2557.95,2472.8,2549.4,303860,TECHM
2014-12-19,2565.3,2606.55,2562.05,2579.4,465957,TECHM
2014-12-22,2580.0,2609.35,2545.4,2594.45,327998,TECHM
2014-12-23,2595.0,2615.95,2550.95,2572.75,249403,TECHM
2014-12-24,2572.95,2572.95,2503.65,2517.6,775775,TECHM
2014-12-26,2529.0,2570.0,2501.1,2566.7,220584,TECHM
2014-12-29,2562.0,2594.0,2562.0,2589.75,180259,TECHM
2014-12-30,2590.4,2630.4,2590.0,2611.65,308276,TECHM
2014-12-31,2620.0,2622.85,2585.0,2593.55,332394,TECHM
2015-01-01,2589.0,2613.45,2580.75,2594.55,122347,TECHM
2015-01-02,2587.0,2619.0,2587.0,2607.25,256301,TECHM
2015-01-05,2600.0,2619.7,2555.0,2563.75,192701,TECHM
2015-01-06,2555.05,2569.0,2515.35,2536.25,489983,TECHM
2015-01-07,2545.0,2574.8,2513.2,2524.4,332883,TECHM
2015-01-08,2528.0,2579.9,2528.0,2566.65,440235,TECHM
2015-01-09,2568.0,2689.9,2568.0,2680.35,751010,TECHM
2015-01-12,2697.0,2759.0,2685.0,2754.0,864263,TECHM
2015-01-13,2764.0,2772.2,2735.0,2761.1,755128,TECHM
2015-01-14,2764.0,2795.95,2751.5,2791.55,410554,TECHM
2015-01-15,2797.05,2800.0,2767.1,2781.8,587022,TECHM
2015-01-16,2785.0,2819.95,2770.6,2816.95,960237,TECHM
2015-01-19,2815.0,2820.0,2783.1,2800.25,266551,TECHM
2015-01-20,2795.05,2819.95,2795.05,2801.8,312009,TECHM
2015-01-21,2801.0,2815.9,2787.8,2796.5,525578,TECHM
2015-01-22,2796.7,2805.0,2749.0,2758.1,617241,TECHM
2015-01-23,2770.85,2804.0,2760.0,2780.75,499377,TECHM
