Train GT,Train preds,diff
388.44998,382.1134,6.3365784
393.05002,384.03772,9.012299
391.95,387.8934,4.05661
391.80002,390.60062,1.1994019
394.55,391.7817,2.76828
384.45,392.96396,8.513947
393.4,389.8631,3.5368958
397.3,389.62286,7.677124
397.15,392.04242,5.1075745
395.25,394.5023,0.7477112
395.6,395.32925,0.27075195
405.19998,395.3437,9.856293
401.6,398.63797,2.9620361
401.6,400.63007,0.9699402
395.65002,401.35388,5.7038574
397.5,399.0894,1.589386
388.44998,397.1614,8.711426
378.7,392.66638,13.96637
364.8,385.11276,20.312775
378.7,373.87802,4.821991
375.15002,370.79367,4.3563538
387.5,370.6552,16.844788
373.7,376.54587,2.8458557
386.1,377.2159,8.884094
379.1,380.53052,1.4305115
390.6,380.94724,9.652771
390.5,384.54608,5.9539185
377.35,387.95596,10.605957
367.25,384.95926,17.709259
358.7,376.72888,18.02887
342.3,366.29245,23.992462
345.85,352.6894,6.839386
348.8,344.4686,4.3313904
336.65002,342.49734,5.8473206
336.55002,338.9304,2.380371
336.4,336.27786,0.12213135
323.25,335.0285,11.778503
341.5,329.80792,11.692078
335.2,332.3292,2.870819
330.65,334.23947,3.5894775
344.75003,333.57455,11.175476
343.1,337.81888,5.281128
343.69998,341.57938,2.1206055
340.95,344.0182,3.0681763
343.50003,343.95682,0.4567871
344.8,343.9796,0.82037354
358.65,344.47733,14.172668
346.35,350.37775,4.0277405
344.4,351.10617,6.7061768
330.55,348.9111,18.361115
330.90002,341.0721,10.172089
320.45,334.31293,13.862915
330.35,326.46558,3.88443
325.65,324.97406,0.67593384
326.45,324.4747,1.9753113
334.6,324.95084,9.64917
340.0,328.86108,11.138916
345.05,334.73874,10.311249
345.44998,341.196,4.2539673
340.75,345.60245,4.8524475
342.34998,345.70782,3.3578491
352.15002,344.77963,7.370392
356.65,347.58142,9.068573
359.3,352.3714,6.928589
374.59998,357.06726,17.532715
357.15002,365.9399,8.789886
365.7,366.02267,0.32266235
361.30002,366.09323,4.793213
385.84998,364.31427,21.535706
387.6,372.04535,15.554657
389.05,380.992,8.057983
378.75,387.48956,8.739563
354.0,386.5899,32.589905
350.1,373.6613,23.56128
349.94998,359.47855,9.528564
347.7,350.10342,2.4034119
342.34998,345.168,2.8180237
349.6,341.6942,7.905792
350.35,343.0003,7.349701
349.6,345.9753,3.6246948
358.90002,348.28937,10.610657
347.44998,353.26392,5.8139343
338.69998,352.8501,14.150116
342.6,347.25137,4.651367
340.95,343.405,2.4549866
343.25,340.96793,2.282074
350.2,340.85812,9.341888
346.3,344.38007,1.9199219
350.4,346.39166,4.0083313
349.4,348.7629,0.63708496
349.05002,349.97568,0.9256592
335.55,350.16458,14.6145935
329.65,344.6162,14.966217
338.85,336.84027,2.009735
