Train GT,Train preds,diff
2432.4995,2717.1826,284.6831
2457.3499,2708.3025,250.95264
2474.5498,2702.094,227.54419
2475.9495,2699.2664,223.3169
2517.9502,2698.2283,180.27808
2523.6504,2702.3872,178.73682
2479.801,2708.6074,228.8064
2434.4995,2710.565,276.06543
2450.3992,2706.217,255.81787
2451.5007,2701.5762,250.07544
2479.2998,2697.252,217.95215
2462.4993,2696.351,233.8518
2459.0994,2695.1006,236.00122
2429.8987,2693.644,263.74536
2442.5002,2689.3127,246.8125
2406.3508,2685.743,279.3921
2386.2004,2679.0781,292.8777
2391.7493,2670.049,278.2998
2367.899,2661.689,293.79004
2392.3499,2652.0383,259.68848
2394.3003,2645.5696,251.26929
2386.8506,2641.177,254.32642
2388.3992,2637.413,249.01392
2366.899,2634.5664,267.66748
2396.35,2630.2493,233.89917
2372.3508,2628.9373,256.58643
2362.2507,2626.4028,264.1521
2353.749,2622.814,269.06494
2353.749,2618.388,264.63892
2336.4995,2614.1277,277.62817
2320.25,2608.6543,288.4043
2303.4497,2601.7415,298.29175
2290.049,2593.3909,303.3418
2277.7505,2584.0947,306.34424
2300.4495,2574.2595,273.81006
2304.899,2567.6584,262.75952
2320.5999,2563.4524,242.85254
2552.7,2562.3271,9.627197
2651.3503,2586.1233,65.22705
2603.5996,2626.3838,22.78418
2660.1995,2663.935,3.7355957
2664.4504,2702.555,38.104492
2634.7012,2737.4417,102.74048
2819.0505,2763.8433,55.207275
2986.751,2802.7869,183.96411
3136.45,2858.628,277.82202
3099.1492,2929.9382,169.21094
3193.2507,2995.333,197.91772
3185.049,3061.201,123.848145
3152.2004,3118.4768,33.723633
3131.1492,3162.4067,31.257568
3008.7998,3193.7046,184.90479
2982.8499,3203.398,220.5481
2979.4502,3200.75,221.2998
3078.0012,3192.655,114.65381
3073.249,3193.1396,119.890625
3066.0996,3195.9224,129.82275
3063.901,3198.6885,134.7876
3060.1511,3200.9062,140.75513
3119.049,3202.268,83.218994
3179.55,3209.252,29.701904
3338.5498,3223.688,114.86182
3368.9492,3255.8865,113.062744
3362.249,3294.2888,67.960205
3305.1006,3330.353,25.252441
3206.3013,3355.6196,149.31836
3069.899,3363.5493,293.6504
2989.0513,3349.5886,360.53735
3138.4998,3320.1443,181.64453
3221.3,3303.2258,81.92578
3178.7507,3300.89,122.13916
3163.7498,3300.1238,136.37402
3139.5493,3299.0032,159.45386
3187.501,3295.4521,107.95117
3184.5007,3296.3955,111.894775
3214.5503,3298.4595,83.90918
3246.5999,3303.987,57.387207
3234.249,3313.534,79.28491
3192.6501,3322.2698,129.61963
3135.8494,3325.4922,189.64282
3152.151,3320.369,168.21802
3109.599,3314.2856,204.68652
3070.05,3303.817,233.76685
3029.201,3288.8206,259.61963
2975.7004,3269.5447,293.84424
2866.0493,3245.2688,379.21948
2772.8508,3210.5144,437.66357
2814.4001,3166.2322,351.83203
2788.8994,3127.6218,338.7224
2854.4504,3092.6333,238.18286
2790.8499,3070.0574,279.20752
2726.4006,3048.3323,321.93164
2739.9502,3023.3303,283.38013
2788.599,3001.5913,212.99219
2788.599,2988.5454,199.94629
2878.3008,2980.372,102.07129
2851.599,2984.5308,132.93164
2865.5505,2990.2073,124.65674
2812.0005,2997.7043,185.70386
2816.601,2999.6052,183.00415
2793.1006,2999.818,206.71753
2807.5508,2996.7847,189.23389
2862.6494,2994.366,131.71655
2877.0005,2998.0237,121.02319
2841.499,3004.9697,163.4707
2876.3005,3008.8635,132.56299
2894.25,3014.916,120.666016
2880.1992,3022.8054,142.6062
2876.7996,3029.0164,152.2168
2880.651,3033.6125,152.96167
