actual,forecasts
1720.9,1746.15
1727.85,1720.9
1717.9,1727.85
1741.65,1717.9
1723.15,1741.65
1704.1,1723.15
1737.6,1704.1
1760.35,1737.6
1787.9,1760.35
1851.8,1787.9
1823.45,1851.8
1798.0,1823.45
1824.25,1798.0
1878.05,1824.25
1935.0,1878.05
1917.0,1935.0
1844.0,1917.0
1843.4,1844.0
1911.7,1843.4
1919.9,1911.7
1971.55,1919.9
2004.0,1971.55
2057.8,2004.0
2146.15,2057.8
2156.2,2146.15
2177.7,2156.2
2096.65,2177.7
2108.85,2096.65
2067.1,2108.85
2009.0,2067.1
2150.6,2009.0
2126.45,2150.6
2134.1,2126.45
2146.45,2134.1
2119.85,2146.45
2133.8,2119.85
2127.6,2133.8
2122.05,2127.6
2113.8,2122.05
2091.35,2113.8
2118.55,2091.35
2131.55,2118.55
2097.05,2131.55
2081.85,2097.05
2095.75,2081.85
2082.1,2095.75
2137.3,2082.1
2110.6,2137.3
2116.15,2110.6
2080.7,2116.15
2087.25,2080.7
2128.2,2087.25
2112.1,2128.2
2077.25,2112.1
2082.65,2077.25
2107.1,2082.65
2161.35,2107.1
2314.0,2161.35
2319.75,2314.0
2302.55,2319.75
2318.85,2302.55
2324.55,2318.85
2298.75,2324.55
2305.7,2298.75
2255.85,2305.7
2211.15,2255.85
2230.8,2211.15
2181.2,2230.8
2201.7,2181.2
2216.25,2201.7
2245.05,2216.25
2234.35,2245.05
2225.25,2234.35
2212.2,2225.25
2210.35,2212.2
2257.5,2210.35
2239.25,2257.5
2233.45,2239.25
2237.05,2233.45
2280.7,2237.05
2287.5,2280.7
2206.5,2287.5
2175.8,2206.5
2176.2,2175.8
2155.9,2176.2
2124.6,2155.9
2106.95,2124.6
2113.05,2106.95
2029.1,2113.05
2034.5,2029.0999999999997
2011.45,2034.5
2026.9,2011.45
2054.5,2026.9
1877.45,2054.5
1850.4,1877.4500000000003
1913.2,1850.4
1955.0,1913.2
2029.15,1955.0
2050.7,2029.15
2084.55,2050.7
1997.2,2084.55
1980.0,1997.2
1996.4,1980.0
2002.3,1996.4
1993.25,2002.3
1987.2,1993.25
1973.15,1987.2
1899.5,1973.15
1950.7,1899.5
1964.05,1950.7
1947.8,1964.05
1952.6,1947.8
1929.8,1952.6
1954.9,1929.8
1958.15,1954.9
1964.05,1958.15
1946.75,1964.05
1958.2,1946.75
1993.75,1958.2
2026.95,1993.75
2007.0,2026.95
2005.8,2007.0
1991.3,2005.8
1974.35,1991.3
1976.55,1974.35
1985.6,1976.55
1991.55,1985.6
1939.7,1991.55
1936.7,1939.7
1943.85,1936.7
1994.15,1943.85
2003.3,1994.15
1990.05,2003.3
1995.5,1990.05
1985.3,1995.5
1987.5,1985.3
1990.85,1987.5
1966.1,1990.85
1914.25,1966.1
1911.15,1914.25
1933.7,1911.15
1897.25,1933.7
1957.05,1897.25
1938.8,1957.05
1960.6,1938.8
1937.45,1960.6
1983.95,1937.45
2016.4,1983.95
2054.7,2016.4
2099.4,2054.7
2049.6,2099.4
1941.0,2049.6
1895.0,1940.9999999999998
1876.55,1895.0
1841.95,1876.55
1895.3,1841.95
1925.8,1895.3
1930.65,1925.8
1924.3,1930.65
1923.75,1924.3
1951.45,1923.75
1956.15,1951.45
1974.3,1956.15
2055.7,1974.3
2041.6,2055.7
2032.6,2041.6
2059.5,2032.6
2083.25,2059.5
2067.7,2083.25
2080.3,2067.7
2008.1,2080.3
2023.45,2008.1
2061.0,2023.45
2144.35,2061.0
2085.8,2144.35
2101.7,2085.8
2106.0,2101.7
2202.1,2106.0
2175.85,2202.1
2178.7,2175.85
2191.1,2178.7
2191.05,2191.1
2181.95,2191.05
2137.6,2181.95
2108.9,2137.6
2100.6,2108.9
2055.35,2100.6
2009.1,2055.35
2082.0,2009.1
2062.4,2082.0
2087.5,2062.4
2047.3,2087.5
1991.45,2047.3
1994.65,1991.45
2029.3,1994.65
2003.1,2029.3
2021.85,2003.1
1992.6,2021.85
1984.3,1992.6
2002.85,1984.3
2005.35,2002.85
1982.05,2005.35
1911.15,1982.05
1931.8,1911.15
1944.3,1931.8
1932.1,1944.3
1901.7,1932.1
1901.15,1901.7
1906.4,1901.15
1904.35,1906.4
1937.85,1904.35
1988.65,1937.85
1997.3,1988.65
2024.05,1997.3
1994.5,2024.05
1959.05,1994.5
1916.6,1959.0500000000002
1920.1,1916.6
1931.0,1920.1
1931.75,1931.0
1926.2,1931.75
1933.15,1926.2
1913.15,1933.15
1937.3,1913.15
1960.35,1937.3
1987.95,1960.35
1997.05,1987.95
1985.4,1997.05
2002.55,1985.4
1985.65,2002.55
1963.15,1985.65
1970.05,1963.15
1976.1,1970.05
2094.8,1976.1
2160.3,2094.8
2168.9,2160.3
2201.25,2168.9
2209.65,2201.25
2190.5,2209.65
2227.4,2190.5
2214.6,2227.4
2175.0,2214.6
2183.0,2175.0
2213.15,2183.0
2244.9,2213.15
2250.0,2244.9
2211.6,2250.0
2215.65,2211.6
2225.65,2215.65
2237.25,2225.65
2225.75,2237.25
2205.35,2225.75
2153.5,2205.35
2104.45,2153.5
2086.0,2104.45
2087.8,2086.0
2110.65,2087.8
2097.95,2110.65
2129.05,2097.95
2150.2,2129.05
2124.8,2150.2
2110.05,2124.8
2092.6,2110.05
2071.2,2092.6
2084.1,2071.2
2099.7,2084.1
2086.0,2099.7
2082.35,2086.0
2112.4,2082.35
2098.95,2112.4
2093.8,2098.95
2120.7,2093.8
2105.7,2120.7
2076.85,2105.7
2055.0,2076.85
2037.35,2055.0
2053.25,2037.3500000000001
2035.3,2053.25
2072.5,2035.2999999999997
2087.75,2072.5
2103.75,2087.75
2134.25,2103.75
2089.05,2134.25
2077.15,2089.05
2088.05,2077.15
2117.3,2088.05
2110.5,2117.3
2145.65,2110.5
2173.5,2145.65
2164.25,2173.5
2172.65,2164.25
2148.25,2172.65
2162.35,2148.25
2183.7,2162.35
2202.6,2183.7
2230.45,2202.6
2227.4,2230.45
