Date,Open,High,Low,Close,Adj Close,Volume
2013-11-27,17700.09961,17930,17594.25,17696.80078,17497.2832,13062
2013-11-28,17725,18025,17480,17552.15039,17354.26172,21944
2013-11-29,17499,17500,17070,17348.90039,17153.30273,28894
2013-12-02,17487,17487,17211,17364.5,17168.73242,9107
2013-12-03,17312,17438,17118,17265.05078,17070.4043,8181
2013-12-04,17308,17548.84961,17150,17406.80078,17210.55469,14145
2013-12-05,17520,17625,17351,17494.94922,17297.70508,10441
2013-12-06,17500,17885,17422,17830.19922,17629.18164,11593
2013-12-09,17898.90039,17994.94922,17680.05078,17735.09961,17535.15625,8333
2013-12-10,17689.84961,18585,17555.19922,18513.5,18304.7793,24207
2013-12-11,18410,19210,18101.90039,19115.94922,18900.43555,30552
2013-12-12,19012,19770,19012,19567.34961,19346.74219,43211
2013-12-13,19450,19874,19020,19124.19922,18908.58789,47209
2013-12-16,19100,19840,19100,19786.84961,19563.76953,26995
2013-12-17,19813,20199,19620,19744.59961,19521.99219,26880
2013-12-18,19820,20075,19760.09961,19898.05078,19673.7207,17134
2013-12-19,19979,20106.75,19710,19795.34961,19572.17578,10036
2013-12-20,19750,20225,19675.25,19831.25,19607.67578,32238
2013-12-23,19735,19880,19511,19627.09961,19405.81641,14093
2013-12-24,19760,19849.80078,19541.30078,19603.90039,19382.88477,12728
2013-12-26,19623.65039,19779.75,19000.05078,19072.94922,18857.91602,23870
2013-12-27,19149,19449.34961,19120,19408.59961,19189.78516,15268
2013-12-30,19590,19629.94922,19180,19260.59961,19043.45313,15356
2013-12-31,19347,19439.94922,19170.09961,19364.40039,19146.08594,8550
2014-01-01,19399,19499.90039,19216,19276.94922,19059.61719,6371
2014-01-02,19366,19444,18956.30078,19019.84961,18805.41797,10813
2014-01-03,19001,19249,18905.09961,19162.65039,18946.60742,11415
2014-01-06,19174,19439.94922,19046.09961,19287.94922,19070.49414,13030
2014-01-07,19349,19450,19056.05078,19120.34961,18904.78125,7225
2014-01-08,19170,19300,19000,19075.94922,18860.88477,6721
2014-01-09,19150,19249.94922,19023.30078,19153.09961,18937.16797,6314
2014-01-10,19105,19299.90039,19002,19101.5,18886.14844,6476
2014-01-13,19170,19289.94922,18925.5,19124.75,18909.12891,7724
2014-01-14,19170,19420,19103.05078,19264.25,19047.0625,8600
2014-01-15,19519,19519,19210,19271.84961,19054.57227,2863
2014-01-16,19271.84961,19920,19151,19824.80078,19601.29883,18815
2014-01-17,19899,20155,19421,19522.75,19302.64648,17950
2014-01-20,19551,19733.55078,19422,19610.80078,19389.70313,8857
2014-01-21,19612,19769.94922,19560,19624.69922,19403.44336,5115
2014-01-22,19624.69922,20049,19570,19953,19728.04297,9540
2014-01-23,20050,20149,19370,19408.84961,19190.03125,12486
2014-01-24,19549,19550,19211.19922,19249.75,19032.72266,6638
2014-01-27,19175,19244.94922,18740,18804.69922,18592.69141,7680
2014-01-28,18785.75,19148.65039,18645,19034.34961,18819.75781,5420
2014-01-29,19000,19150,18855.30078,18948.65039,18735.02344,3995
2014-01-30,18900,19247.5,18670,19030.09961,18839.41602,4941
2014-01-31,19287,19530,19112.30078,19433.94922,19239.2168,8039
2014-02-03,19450,19850,19350,19676.75,19479.58594,11770
2014-02-04,19470,20020,19305,19895.15039,19695.79883,10185
2014-02-05,19906,20125,19730,19925.44922,19725.79102,12958
2014-02-06,19835,20060,18985,19378.34961,19184.17188,33650
2014-02-07,19050,19250,18686.40039,18807.80078,18619.33789,18591
2014-02-10,18944,19159.94922,18740,18832.65039,18643.94531,10721
2014-02-11,19085,19210,18911.05078,19161.94922,18969.94336,8957
2014-02-12,19250,19250,18900.19922,19182.44922,18990.23633,4156
2014-02-13,19050,19224,18830.55078,18890.30078,18701.01367,5702
2014-02-14,18900,19098.94922,18703,18897.59961,18708.24023,4215
2014-02-17,18850,19089.5,18771.15039,18890.69922,18701.40625,3417
2014-02-18,18710,18999.94922,18701.80078,18850.15039,18661.26563,3788
2014-02-19,18732,19200,18732,19113.25,18921.72656,4301
2014-02-20,18913,19194,18802,18834.30078,18645.57617,6359
2014-02-21,18840,19120.5,18840,18918,18728.43555,7264
2014-02-24,18914,19172.34961,18910,19002.55078,18812.14063,3717
2014-02-25,19002,19175,18991.69922,19085.75,18894.50781,4038
2014-02-26,19091.25,19220,19000,19026.55078,18835.9043,7390
2014-02-28,19045.69922,19198,19020,19086.75,18895.49805,3463
2014-03-03,19010,19200,19000.19922,19098.75,18907.37891,4444
2014-03-04,19190,19699.90039,19075,19633.34961,19436.61914,12180
2014-03-05,19699.90039,19749.94922,19421,19478.55078,19283.375,6462
2014-03-06,19499,20550.05078,19448,20367.59961,20163.50781,19966
2014-03-07,20460,20625,20240,20412.34961,20207.8125,12453
2014-03-10,20400,20780,20150.05078,20663,20455.95703,9041
2014-03-11,20679.94922,20975,20560.05078,20785.90039,20577.62109,14300
2014-03-12,20605,20950,20605,20844.40039,20635.53711,15839
2014-03-13,20850,20980,20595,20671.05078,20463.92188,7729
2014-03-14,20700,21100,20530,20943.44922,20733.58984,6703
2014-03-18,21095,21650.30078,20760.5,21591.84961,21375.49609,17091
2014-03-19,21670,21790,21450.05078,21583.15039,21366.88477,9292
2014-03-20,21585,21604.90039,21270.59961,21453.80078,21238.82813,4633
2014-03-21,21351,22450,21351,22300.90039,22077.44336,30470
2014-03-22,null,null,null,null,null,null
2014-03-24,22518.90039,22588.94922,22065,22167.05078,21944.93164,11344
2014-03-25,22294,22450,22000,22205.69922,21983.19531,22250
2014-03-26,22239.90039,22320,21770,21863.69922,21644.61914,13012
2014-03-27,21701,22156,20773.34961,21118.34961,20906.74023,21138
2014-03-28,21350,21674,21151,21459.15039,21244.12305,9983
2014-03-31,21685,21988.80078,21459.15039,21788.75,21570.42188,7958
2014-04-01,21810.69922,21974.90039,21610,21669.34961,21452.2207,5416
2014-04-02,21910,22344,21651.25,22276.34961,22053.13672,16004
2014-04-03,22399,22399.19922,21931,22216.94922,21994.33203,10453
2014-04-04,22222,22477.80078,22010,22379.90039,22155.64844,10538
2014-04-07,22326.75,22488,22251,22290.69922,22067.3418,6469
2014-04-09,22305,22525,22180,22388.25,22163.91602,4261
2014-04-10,22599,22749,21969.94922,22146.75,21924.83398,12285
2014-04-11,22200,22998.90039,22140,22837.34961,22608.51563,11515
2014-04-15,22850,23500,22800.05078,23464.19922,23229.08398,16263
2014-04-16,23400,23690,23350,23454.94922,23219.92578,9293
2014-04-17,23450.25,23835,23450.25,23750.05078,23512.07031,12911
2014-04-21,23773.90039,23899,23350,23568.25,23332.08984,9145
2014-04-22,23600,25925.05078,21380,22228.59961,22005.86328,71887
2014-04-23,22088,22483.94922,21511,21697.40039,21479.99219,46676
2014-04-24,21697.40039,21697.40039,21697.40039,21697.40039,21479.99219,0
2014-04-25,21500,22000,20251,20428.5,20223.80273,48382
2014-04-28,20399,20924.94922,19816.09961,20656.34961,20449.36523,40884
2014-04-29,20735,20999,20525,20721.55078,20513.91992,10505
2014-04-30,20678,20890,20375,20528.55078,20322.84961,7578
2014-05-02,20575,20790.05078,20502.5,20714,20506.44336,6697
2014-05-05,20677,20930,20607,20641.05078,20434.22461,3462
2014-05-06,20642,20905,20642,20812.65039,20604.10742,5216
2014-05-07,20605,20925,20604.5,20761.25,20553.2207,7792
2014-05-08,20632,21392,20632,21287.94922,21074.63867,8068
2014-05-09,21290.09961,21498,21052,21417.19922,21202.5957,10443
2014-05-12,21450,21747,21410.05078,21602.25,21385.79102,6906
2014-05-13,21675,21784.94922,21200,21404.80078,21190.32227,6127
2014-05-14,21409,22046.94922,21259,21902.30078,21682.83594,9202
2014-05-15,21902.15039,22029.94922,21510,21584.75,21368.47266,6651
2014-05-16,21950,22670,21715,22222.80078,22000.12305,9590
2014-05-19,22161,23000,22161,22820.19922,22591.5332,4635
2014-05-20,22905,23002.19922,22567.30078,22775.90039,22547.68164,5187
2014-05-21,22769,22975,22401,22445.30078,22220.39258,7873
2014-05-22,22542.94922,23045,22542,22833.44922,22604.65039,5556
2014-05-23,22850,23278.59961,22850,23143.5,22911.59375,5095
2014-05-26,23200,23390,22750.05078,23076.44922,22845.21875,9200
2014-05-27,23098,23100,22550,22731.69922,22503.92383,5540
2014-05-28,23020,23020,22551,22880.94922,22651.67578,10582
2014-05-29,22800,23098.80078,22800,22936.09961,22706.27539,2554
2014-05-30,22710,22920,22653.05078,22733.30078,22505.51172,3759
